Postcode,Median_Income
2600,67419.71429
2601,44183.71429
2602,55828.42857
2603,70100.14286
2604,67698
2605,61086.71429
2606,55091.71429
2607,54962.42857
2609,46984.28571
2611,57904.57143
2612,58423.28571
2614,52947.85714
2615,52382.42857
2617,50330.57143
2900,55629.14286
2902,52072.57143
2903,52471.71429
2904,55727.57143
2905,53577.71429
2906,55122
2911,65279
2912,49867.14286
2913,55437.85714
2914,58506.28571
1235,20631
2000,23154
2001,44659.66667
2007,30207.57143
2008,39369
2009,49749.14286
2010,53961.85714
2011,56957.71429
2015,61253.85714
2016,53066.42857
2017,51546.42857
2018,44000
2019,52067.71429
2020,45402.71429
2021,64045.85714
2022,50420.71429
2023,65802
2024,59380.28571
2025,64624
2026,53401.85714
2027,70244.42857
2028,64165.14286
2029,57921.28571
2030,62177.42857
2031,57033.85714
2032,40904.42857
2033,46082.85714
2034,58390.14286
2035,48259.28571
2036,46322
2037,50168.28571
2038,60980.42857
2039,67768.85714
2040,60423.42857
2041,68380.42857
2042,53057.85714
2043,65923.28571
2044,51530.42857
2045,51114.14286
2046,54546.71429
2047,60538.28571
2048,54747.14286
2049,52987.71429
2050,59630.71429
2057,54544
2059,72835
2060,62914.14286
2061,69181.14286
2062,66653.85714
2063,64424.71429
2064,54043.28571
2065,64537
2066,59127.57143
2067,43028.14286
2068,58383.57143
2069,54439
2070,54168.42857
2071,51407.42857
2072,47692.42857
2073,54751.14286
2074,51412.57143
2075,49444.71429
2076,50907.14286
2077,45863.42857
2079,48290.42857
2080,44011.14286
2081,47815.28571
2082,47576
2083,42883
2084,49410.57143
2085,44835.85714
2086,48029.71429
2087,47380.85714
2088,65173.28571
2089,63157.42857
2090,64762.85714
2092,57070.14286
2093,53363
2094,60023.42857
2095,57703.28571
2096,56090
2097,48549.85714
2099,45752
2100,46775.28571
2101,47181.85714
2102,49114.57143
2103,46211.57143
2104,45591.57143
2105,48281.42857
2106,47490.71429
2107,45155.57143
2108,49106.57143
2110,62372.71429
2111,54068.28571
2112,46010
2113,47962
2114,45803
2115,44187.14286
2116,43563.57143
2117,41472.28571
2118,39875.14286
2119,51145.57143
2120,47825.42857
2121,43241.57143
2122,39274
2124,34544.66667
2125,48889.14286
2126,45930.28571
2127,51494.14286
2128,41052.28571
2130,52995.85714
2131,40557.28571
2132,44892.57143
2133,44059
2134,32615.85714
2135,38585.28571
2136,42541.14286
2137,49474.14286
2138,44981.71429
2140,39535.28571
2141,34538.85714
2142,35848.71429
2143,37349.14286
2144,29423.57143
2145,44826.42857
2146,44539.42857
2147,44917.42857
2148,42197.28571
2150,42438.42857
2151,45562.57143
2152,47940
2153,47987.14286
2154,46750
2155,52091.42857
2156,46823.85714
2157,41362.14286
2158,46727.71429
2159,42894.14286
2160,37107.14286
2161,35935
2162,37121.57143
2163,35311
2164,40594.85714
2165,36550.71429
2166,35593.85714
2167,45144
2168,39943.57143
2170,42087.57143
2171,45986.71429
2172,55270.42857
2173,51533.85714
2174,50626.42857
2175,43672.14286
2176,41105.57143
2177,40141.28571
2178,42719.71429
2179,43146.28571
2190,34865.42857
2191,40712.57143
2192,37713.14286
2193,44171.42857
2194,33385
2195,30490.71429
2196,35702.85714
2197,37733.28571
2198,39630.85714
2199,36755
2200,35591
2203,51601.14286
2204,48350.57143
2205,41134.14286
2206,46175
2207,42617.14286
2208,41837.85714
2209,39243.14286
2210,40980.85714
2211,43519.85714
2212,43761.57143
2213,46187.42857
2214,45786.57143
2216,40137.28571
